# JMH version: 1.37
# VM version: JDK 21.0.10, OpenJDK 64-Bit Server VM, 21.0.10+7-LTS
# VM invoker: /usr/lib/jvm/java-21-amazon-corretto.x86_64/bin/java
# VM options: -Xint
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 3 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.benchmark.DispatchBenchmarkNoJIT.chainDepth128

# Run progress: 0.00% complete, ETA 00:15:27
# Fork: 1 of 1
# Warmup Iteration   1: 64.711 ns/op
# Warmup Iteration   2: 65.426 ns/op
# Warmup Iteration   3: 64.696 ns/op
Iteration  50: 68.431 ns/op
Iteration  51: 68.349 ns/op
Iteration  52: 67.994 ns/op
Iteration  53: 69.888 ns/op
Iteration  54: 68.010 ns/op
Iteration  55: 67.987 ns/op
Iteration  56: 67.992 ns/op
Iteration  57: 67.998 ns/op
Iteration  58: 68.030 ns/op
Iteration  59: 68.005 ns/op
Iteration  60: 67.986 ns/op
Iteration  61: 68.031 ns/op
Iteration  62: 68.006 ns/op
Iteration  63: 68.004 ns/op
Iteration  64: 68.000 ns/op
Iteration  65: 67.993 ns/op
Iteration  66: 68.003 ns/op
Iteration  67: 68.071 ns/op
Iteration  68: 68.011 ns/op
Iteration  69: 67.993 ns/op
Iteration  70: 67.995 ns/op
Iteration  71: 68.057 ns/op
Iteration  72: 68.058 ns/op
Iteration  73: 68.052 ns/op
Iteration  74: 68.014 ns/op
Iteration  75: 68.010 ns/op
Iteration  76: 67.995 ns/op
Iteration  77: 68.001 ns/op
Iteration  78: 67.989 ns/op
Iteration  79: 67.983 ns/op
Iteration  80: 68.365 ns/op
Iteration  81: 68.374 ns/op
Iteration  82: 68.020 ns/op
Iteration  83: 67.996 ns/op
Iteration  84: 67.985 ns/op
Iteration  85: 67.990 ns/op
Iteration  86: 67.984 ns/op
Iteration  87: 68.007 ns/op
Iteration  88: 68.357 ns/op
Iteration  89: 68.026 ns/op
Iteration  90: 68.005 ns/op
Iteration  91: 68.014 ns/op
Iteration  92: 68.001 ns/op
Iteration  93: 68.002 ns/op
Iteration  94: 67.993 ns/op
Iteration  95: 67.991 ns/op
Iteration  96: 67.985 ns/op
Iteration  97: 67.997 ns/op
Iteration  98: 68.018 ns/op
Iteration  99: 67.992 ns/op
Iteration 100: 67.981 ns/op


Result "com.benchmark.DispatchBenchmarkNoJIT.chainDepth32":
  68.087 ±(99.9%) 0.100 ns/op [Average]
  (min, avg, max) = (67.971, 68.087, 69.888), stdev = 0.295
  CI (99.9%): [67.987, 68.187] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 21.0.10, OpenJDK 64-Bit Server VM, 21.0.10+7-LTS
# VM invoker: /usr/lib/jvm/java-21-amazon-corretto.x86_64/bin/java
# VM options: -Xint
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 3 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.benchmark.DispatchBenchmarkNoJIT.chainDepth4

# Run progress: 44.44% complete, ETA 00:08:36
# Fork: 1 of 1
# Warmup Iteration   1: 64.490 ns/op
# Warmup Iteration   2: 64.753 ns/op
# Warmup Iteration   3: 64.485 ns/op
Iteration   1: 64.500 ns/op
Iteration   2: 64.494 ns/op
Iteration   3: 64.489 ns/op
Iteration   4: 64.498 ns/op
Iteration   5: 64.481 ns/op
Iteration   6: 64.474 ns/op
Iteration   7: 64.486 ns/op
Iteration   8: 64.494 ns/op
Iteration   9: 64.495 ns/op
Iteration  10: 64.483 ns/op
Iteration  11: 64.485 ns/op
Iteration  12: 64.562 ns/op
Iteration  13: 64.476 ns/op
Iteration  14: 64.477 ns/op
Iteration  15: 64.485 ns/op
Iteration  16: 64.475 ns/op
Iteration  17: 64.478 ns/op
Iteration  18: 64.510 ns/op
Iteration  19: 64.477 ns/op
Iteration  20: 68.142 ns/op
Iteration  21: 64.489 ns/op
Iteration  22: 64.455 ns/op
Iteration  23: 64.490 ns/op
Iteration  24: 64.471 ns/op
Iteration  25: 64.477 ns/op
Iteration  26: 64.483 ns/op
Iteration  27: 64.482 ns/op
Iteration  28: 64.468 ns/op
Iteration  29: 64.487 ns/op
Iteration  30: 64.540 ns/op
Iteration  31: 66.204 ns/op
Iteration  32: 64.490 ns/op
Iteration  33: 64.530 ns/op
Iteration  34: 64.504 ns/op
Iteration  35: 64.470 ns/op
Iteration  36: 64.485 ns/op
Iteration  37: 64.500 ns/op
Iteration  38: 64.486 ns/op
Iteration  39: 64.483 ns/op
Iteration  40: 64.558 ns/op
Iteration  41: 64.528 ns/op
Iteration  42: 64.471 ns/op
Iteration  43: 64.492 ns/op
Iteration  44: 64.480 ns/op
Iteration  45: 64.487 ns/op
Iteration  46: 64.473 ns/op
Iteration  47: 68.145 ns/op
Iteration  48: 68.168 ns/op
Iteration  49: 64.499 ns/op
Iteration  50: 64.496 ns/op
Iteration  51: 64.474 ns/op
Iteration  52: 64.480 ns/op
Iteration  53: 64.474 ns/op
Iteration  54: 64.482 ns/op
Iteration  55: 64.479 ns/op
Iteration  56: 64.467 ns/op
Iteration  57: 64.498 ns/op
Iteration  58: 64.465 ns/op
Iteration  59: 64.500 ns/op
Iteration  60: 64.493 ns/op
Iteration  61: 64.530 ns/op
Iteration  62: 64.484 ns/op
Iteration  63: 64.481 ns/op
Iteration  64: 64.484 ns/op
Iteration  65: 64.465 ns/op
Iteration  66: 64.472 ns/op
Iteration  67: 64.586 ns/op
Iteration  68: 64.577 ns/op
Iteration  69: 64.493 ns/op
Iteration  70: 64.494 ns/op
Iteration  71: 64.476 ns/op
Iteration  72: 64.489 ns/op
Iteration  73: 64.475 ns/op
Iteration  74: 64.473 ns/op
Iteration  75: 64.479 ns/op
Iteration  76: 64.506 ns/op
Iteration  77: 68.138 ns/op
Iteration  78: 68.106 ns/op
Iteration  79: 64.486 ns/op
Iteration  80: 64.497 ns/op
Iteration  81: 64.485 ns/op
Iteration  82: 64.471 ns/op
Iteration  83: 64.469 ns/op
Iteration  84: 64.475 ns/op
Iteration  85: 64.455 ns/op
Iteration  86: 64.461 ns/op
Iteration  87: 64.483 ns/op
Iteration  88: 68.129 ns/op
Iteration  89: 68.127 ns/op
Iteration  90: 64.497 ns/op
Iteration  91: 64.514 ns/op
Iteration  92: 64.490 ns/op
Iteration  93: 64.473 ns/op
Iteration  94: 64.482 ns/op
Iteration  95: 64.479 ns/op
Iteration  96: 64.465 ns/op
Iteration  97: 64.482 ns/op
Iteration  98: 64.490 ns/op
Iteration  99: 64.477 ns/op
Iteration 100: 64.497 ns/op


Result "com.benchmark.DispatchBenchmarkNoJIT.chainDepth4":
  64.762 ±(99.9%) 0.321 ns/op [Average]
  (min, avg, max) = (64.455, 64.762, 68.168), stdev = 0.946
  CI (99.9%): [64.441, 65.083] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 21.0.10, OpenJDK 64-Bit Server VM, 21.0.10+7-LTS
# VM invoker: /usr/lib/jvm/java-21-amazon-corretto.x86_64/bin/java
# VM options: -Xint
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 3 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
